569927279,85181442,2020-03-28,17:02:29,Dell,Bought,60.0,10,0.5,0.6
569927279,944621473,2020-03-28,17:03:01,Amazon,Bought,40.0,15,0.5,0.6
569927279,1352789341,2020-03-28,17:04:31,Amazon,Sold,40.0,5,0.5,0.6
569927279,187351794,2020-03-28,17:06:52,LIC,Bought,70.0,10,0.5,0.6
569927279,1154949262,2020-03-28,17:12:32,Dell,Bought,60.0,10,0.5,0.6
569927279,714838099,2020-03-28,17:34:26,Amazon,Bought,40.0,10,0.5,0.6
1602496890,1068862343,2020-03-31,03:18:21,Dell,Bought,60.0,5,0.9,0.3
1602496890,1515775112,2020-03-31,03:18:30,Dell,Sold,60.0,3,0.9,0.3
1602496890,1789827199,2020-03-31,03:20:22,Dell,Bought,60.0,5,0.9,0.3
1602496890,540704393,2020-03-31,03:20:36,Dell,Sold,60.0,4,0.9,0.3
1602496890,1587266996,2020-03-31,03:21:26,Dell,Bought,60.0,3,0.9,0.3
1602496890,1740442168,2020-03-31,03:21:58,Dell,Sold,60.0,3,0.9,0.3
1602496890,1954011666,2020-03-31,03:22:41,Dell,Bought,60.0,5,0.9,0.3
